loan_id,segment,region,principal,interest_rate,tenor_months,fico,is_collateral,origination_month,default_flag
L000043,Retail,S,21654.87,0.138,41,815,1,2022-03-01,0
L000044,SME,NE,30137.56,0.189,11,672,0,2023-04-01,0
L000045,Retail,S,27691.98,0.19,22,615,1,2024-03-01,0
L000046,Retail,W,15665.41,0.066,34,722,1,2022-04-01,0
L000047,SME,S,18071.72,0.115,7,644,0,2022-08-01,0
L000048,SME,NE,24678.5,0.154,39,637,0,2022-10-01,0
L000049,Retail,S,16970.2,0.215,50,663,0,2022-01-01,0
L000050,Retail,NE,28283.27,0.223,14,805,0,2023-05-01,0
L000051,Retail,W,31067.11,0.07,54,619,1,2022-08-01,0
L000052,Retail,S,33198.01,0.095,18,596,1,2023-05-01,0
L000053,Retail,W,20132.61,0.102,45,781,0,2024-09-01,0
L000054,Retail,W,49044.0,0.234,30,587,0,2024-07-01,0
L000055,Retail,NE,5618.4,0.192,58,690,0,2022-12-01,0
L000056,SME,W,22418.96,0.172,15,815,1,2022-02-01,0
L000057,Retail,W,17881.99,0.167,55,743,0,2023-02-01,0
L000058,Retail,MW,16224.32,0.182,11,761,0,2023-07-01,1
L000059,Retail,MW,44566.48,0.214,54,771,0,2023-09-01,0
L000060,Retail,MW,21036.67,0.219,24,797,0,2024-05-01,0
L000061,Retail,MW,17328.15,0.178,40,689,1,2023-04-01,0
L000062,SME,S,33527.19,0.095,52,619,1,2022-09-01,0
L000063,Retail,W,53045.81,0.154,20,721,1,2023-08-01,0
L000064,SME,S,22058.05,0.149,40,727,0,2023-08-01,0
L000065,Retail,W,20410.2,0.138,27,726,0,2024-12-01,0
L000066,Retail,W,24882.32,0.201,51,761,0,2024-10-01,0
L000067,Retail,S,36629.96,0.137,34,751,0,2023-08-01,0
L000068,Retail,MW,8213.71,0.105,29,802,0,2022-12-01,0
L000069,Retail,S,16180.81,0.21,20,632,0,2023-01-01,0
L000070,Retail,W,15895.91,0.093,20,774,0,2024-05-01,0
L000071,Retail,MW,26117.38,0.146,58,723,0,2022-08-01,1
L000072,Retail,S,34346.07,0.063,49,619,1,2024-02-01,0
L000073,Retail,W,96602.01,0.13,24,649,1,2024-07-01,0
L000074,Retail,S,43449.26,0.139,10,657,1,2022-10-01,0
L000075,SME,NE,26280.65,0.198,21,570,0,2022-07-01,0
L000076,Retail,W,12840.81,0.06,15,677,1,2024-01-01,0
L000077,Retail,MW,18814.23,0.237,22,654,1,2023-07-01,0
L000078,Retail,S,31726.62,0.149,33,592,0,2022-06-01,0
L000079,Retail,W,10360.13,0.165,25,652,0,2023-12-01,0
L000080,SME,MW,21327.93,0.169,23,608,0,2024-02-01,0
L000081,Retail,S,20130.33,0.077,39,720,0,2023-04-01,0
L000082,Retail,NE,32196.39,0.056,28,765,0,2024-06-01,0
L000083,Corporate,S,33919.08,0.069,49,736,1,2024-06-01,0
L000084,Retail,MW,11190.04,0.227,40,633,1,2024-05-01,0
L000085,Retail,MW,8774.57,0.187,24,682,0,2023-11-01,0
L000086,Retail,NE,16006.46,0.127,12,781,0,2022-02-01,0
L000087,Retail,MW,11773.03,0.191,18,739,1,2024-04-01,0
L000088,Retail,S,21381.35,0.149,26,736,1,2022-06-01,0
L000089,Retail,NE,20524.0,0.214,46,611,0,2023-06-01,0
L000090,Retail,W,17937.68,0.181,10,695,0,2024-12-01,1
L000091,Retail,MW,22036.9,0.227,31,571,0,2022-08-01,0
L000092,Retail,W,52726.68,0.16,6,620,1,2024-09-01,0
L000093,Retail,NE,30572.75,0.11,55,614,1,2024-06-01,0
L000094,Retail,NE,10622.59,0.162,54,571,0,2024-03-01,0
L000095,Retail,MW,6851.94,0.181,11,725,0,2023-02-01,1
L000096,Retail,MW,6516.76,0.165,43,752,0,2022-05-01,0
L000097,Retail,W,18785.45,0.108,50,675,0,2023-12-01,0
L000098,SME,MW,14180.69,0.235,15,565,1,2023-03-01,0
L000099,SME,NE,13411.05,0.077,25,780,1,2022-02-01,0
L000100,Retail,W,19870.61,0.217,55,743,0,2024-08-01,0
L000101,Retail,NE,16725.67,0.14,16,694,0,2024-02-01,0
L000102,SME,MW,23849.88,0.091,48,811,0,2022-02-01,0
L000103,Retail,S,33023.76,0.115,45,779,1,2023-06-01,0
L000104,Retail,NE,20595.79,0.053,49,637,1,2022-09-01,0
L000105,Retail,NE,74562.54,0.093,21,606,0,2024-11-01,0
L000106,SME,NE,35456.93,0.114,8,792,0,2022-06-01,0
L000107,Retail,S,26085.5,0.065,25,580,0,2024-11-01,0
L000108,Retail,MW,33537.74,0.109,48,734,0,2023-05-01,0
L000109,Retail,MW,43595.6,0.204,49,597,0,2024-03-01,0
L000110,Retail,MW,21273.5,0.153,56,702,0,2024-01-01,0
L000111,SME,NE,8525.01,0.216,36,818,1,2022-02-01,0
L000112,Retail,NE,16827.27,0.188,20,586,1,2023-11-01,0
L000113,Corporate,MW,46471.04,0.054,44,562,0,2022-05-01,1
L000114,Retail,W,13178.49,0.135,21,807,0,2022-06-01,0
L000115,SME,NE,32651.93,0.215,8,737,1,2023-05-01,0
L000116,Retail,W,28240.04,0.22,9,622,1,2024-04-01,0
L000117,Retail,S,22661.44,0.195,27,658,0,2023-01-01,0
L000118,Retail,MW,40836.45,0.079,43,638,1,2022-08-01,0
L000119,SME,W,10707.03,0.109,24,661,1,2024-07-01,0
L000120,Retail,MW,28611.56,0.104,11,719,1,2022-06-01,0
L000121,SME,NE,15615.19,0.102,52,582,0,2024-10-01,0
L000122,SME,W,16210.9,0.184,29,699,0,2024-04-01,0
L000123,Retail,S,17505.44,0.085,19,589,1,2023-10-01,0
L000124,Retail,S,61399.83,0.101,17,641,0,2024-07-01,0
L000125,SME,W,18389.01,0.168,30,578,1,2024-01-01,0
L000126,Retail,NE,23231.62,0.156,52,801,0,2022-01-01,0
L000127,SME,MW,13592.75,0.124,44,709,1,2022-07-01,0
L000128,Retail,NE,13976.36,0.205,51,649,0,2023-09-01,0
L000129,Corporate,NE,35136.89,0.166,38,624,0,2024-12-01,0
L000130,Retail,W,21125.31,0.149,29,728,1,2022-10-01,0
L000131,Retail,W,19604.01,0.073,27,740,1,2022-10-01,0
L000132,SME,S,30186.24,0.182,41,694,0,2022-03-01,0
L000133,SME,NE,34128.1,0.172,21,819,1,2024-03-01,0
L000134,SME,NE,30800.0,0.065,13,579,0,2024-06-01,1
L000135,SME,W,15502.88,0.226,37,769,1,2024-02-01,0
L000136,SME,NE,51593.44,0.112,34,746,1,2022-03-01,0
L000137,Retail,S,38482.03,0.236,24,696,0,2022-12-01,0
L000138,SME,W,15268.24,0.094,30,802,0,2022-07-01,0
L000139,Retail,S,27955.7,0.207,12,685,1,2022-10-01,0
L000140,Retail,S,17713.96,0.13,57,648,1,2023-06-01,0
L000141,SME,MW,30550.84,0.161,11,807,0,2024-08-01,0
L000142,Retail,S,40842.86,0.051,52,600,0,2022-07-01,0
L000143,SME,S,14176.79,0.189,48,607,0,2023-08-01,0
L000144,Retail,W,28554.62,0.092,25,569,1,2022-05-01,0
L000145,Retail,NE,31157.52,0.099,37,706,0,2022-06-01,0
L000146,Retail,NE,24115.44,0.184,40,655,1,2023-10-01,0
L000147,SME,NE,17783.85,0.183,25,688,0,2024-08-01,1
L000148,Retail,MW,21656.76,0.203,12,783,1,2023-12-01,0
L000149,SME,NE,22246.49,0.227,41,760,1,2023-07-01,0
L000150,Retail,MW,27271.15,0.11,10,744,0,2022-12-01,1
L000151,Retail,S,13861.1,0.134,10,774,0,2022-01-01,0
L000152,Retail,NE,17610.16,0.112,31,744,1,2022-04-01,0
L000153,Retail,MW,25644.32,0.218,19,661,1,2024-01-01,0
L000154,SME,MW,16347.17,0.145,7,812,1,2024-12-01,0
L000155,Retail,W,14669.28,0.207,35,750,0,2022-08-01,0
L000156,Retail,W,16669.37,0.056,10,711,1,2024-12-01,0
L000157,Retail,NE,18548.83,0.112,29,721,0,2024-11-01,0
L000158,Retail,W,18578.23,0.121,21,558,1,2023-08-01,0
L000159,Retail,MW,10500.74,0.084,36,570,0,2024-02-01,0
L000160,Corporate,MW,18352.01,0.117,17,595,0,2024-05-01,0
L000161,SME,NE,11610.58,0.223,26,615,0,2023-03-01,0
L000162,SME,W,30705.34,0.213,27,570,1,2024-01-01,0
L000163,Retail,MW,30499.02,0.07,23,762,1,2023-11-01,0
L000164,Retail,W,12545.5,0.154,32,602,0,2023-11-01,0
L000165,Retail,MW,19638.08,0.226,51,690,0,2024-04-01,0
L000166,SME,S,26381.74,0.159,30,747,1,2022-03-01,0
L000167,Retail,S,18775.83,0.065,17,765,1,2022-09-01,0
L000168,Retail,MW,16641.01,0.109,26,699,1,2023-04-01,0
L000169,Retail,MW,20633.92,0.115,44,716,0,2024-05-01,0
L000170,Retail,MW,23995.41,0.054,29,719,1,2022-01-01,0
L000171,Retail,NE,20986.31,0.232,46,584,0,2022-08-01,0
L000172,Retail,MW,26652.17,0.175,21,786,1,2023-05-01,0
L000173,Retail,NE,29458.22,0.09,9,608,0,2022-05-01,0
L000174,Retail,W,16900.05,0.096,21,778,0,2024-02-01,0
L000175,SME,S,33306.45,0.2,55,656,1,2023-09-01,0
L000176,Retail,MW,26338.81,0.135,46,763,1,2024-11-01,0
L000177,SME,W,18870.84,0.092,7,584,1,2022-09-01,0
L000178,Retail,NE,39432.59,0.184,30,615,1,2022-12-01,0
L000179,Retail,S,32545.97,0.17,6,572,1,2024-06-01,0
L000180,Retail,S,24269.4,0.06,6,708,1,2022-10-01,0
L000181,Retail,NE,21504.73,0.106,13,609,0,2022-01-01,0
L000182,SME,S,14469.66,0.193,8,714,0,2022-09-01,0
L000183,Retail,NE,26384.98,0.056,40,681,0,2022-11-01,0
L000184,SME,MW,38063.97,0.135,56,550,1,2022-06-01,0
L000185,Retail,S,19013.71,0.078,59,805,0,2022-10-01,0
L000186,Retail,MW,65037.83,0.153,21,754,0,2024-06-01,0
L000187,Retail,NE,13267.49,0.174,32,575,1,2022-12-01,0
L000188,SME,MW,16311.53,0.188,33,761,1,2023-09-01,0
L000189,SME,MW,16713.02,0.121,41,601,0,2024-02-01,0
L000190,Retail,S,18001.39,0.132,55,727,1,2023-08-01,0
L000191,Retail,NE,57300.13,0.116,14,562,1,2023-09-01,1
L000192,SME,S,25224.94,0.236,47,781,0,2022-05-01,0
L000193,SME,W,18957.02,0.167,37,569,0,2023-04-01,1
L000194,SME,W,40254.34,0.058,57,809,0,2024-07-01,0
L000195,Retail,W,22666.92,0.16,12,799,1,2024-01-01,0
L000196,Retail,NE,25103.01,0.127,48,716,0,2023-08-01,0
L000197,SME,MW,17366.74,0.149,7,756,0,2023-07-01,0
L000198,Retail,NE,14911.76,0.225,56,588,0,2023-09-01,0
L000199,Retail,W,16162.24,0.05,52,761,0,2022-11-01,0
L000200,SME,MW,36117.75,0.146,34,573,0,2023-12-01,0
L000201,Retail,NE,16749.73,0.146,9,646,0,2023-11-01,1
L000202,Retail,MW,52713.79,0.171,46,603,1,2022-11-01,0
L000203,SME,W,44576.99,0.118,13,745,0,2023-08-01,0
L000204,Retail,W,16189.38,0.153,17,751,0,2022-06-01,0
L000205,SME,MW,25933.82,0.167,28,786,0,2022-12-01,0
L000206,Retail,MW,10835.01,0.058,54,698,1,2022-04-01,0
L000207,Retail,S,7452.6,0.082,16,817,0,2023-02-01,0
L000208,Retail,S,25689.77,0.086,28,802,0,2024-12-01,0
L000209,SME,S,17369.85,0.239,52,583,0,2024-10-01,1
L000210,SME,MW,16257.48,0.14,18,674,0,2022-05-01,0
L000211,Retail,MW,8345.15,0.188,12,636,0,2023-08-01,0
L000212,Retail,NE,22543.39,0.188,56,768,1,2022-12-01,0
L000213,Retail,MW,26378.16,0.075,43,673,0,2022-12-01,0
L000214,Retail,NE,26328.33,0.233,49,722,1,2024-09-01,0
L000215,Retail,S,44211.09,0.196,56,607,0,2023-11-01,0
L000216,Retail,NE,28928.75,0.206,10,785,1,2022-03-01,0
L000217,Retail,W,40135.98,0.139,13,724,0,2024-07-01,1
L000218,Retail,NE,40041.33,0.219,20,635,1,2024-10-01,0
L000219,Retail,S,44971.16,0.087,48,619,0,2022-01-01,1
L000220,Retail,S,34108.5,0.229,58,722,0,2024-04-01,0
L000221,Retail,W,6986.9,0.147,58,695,0,2024-12-01,0
L000222,Retail,NE,24667.02,0.081,40,786,0,2022-10-01,0
L000223,Retail,NE,31843.93,0.2,38,687,0,2023-04-01,0
L000224,SME,S,23992.01,0.211,55,763,1,2024-09-01,0
L000225,Retail,W,14157.93,0.121,29,675,1,2022-07-01,0
L000226,Retail,MW,9900.39,0.198,14,694,0,2023-09-01,0
L000227,Retail,W,18241.52,0.084,11,574,0,2022-12-01,0
L000228,SME,W,10962.14,0.226,16,696,0,2022-01-01,0
L000229,SME,S,21749.33,0.183,47,552,0,2022-11-01,0
L000230,Retail,NE,28816.79,0.202,57,732,1,2024-01-01,0
L000231,SME,S,23172.29,0.125,12,582,1,2023-01-01,0
L000232,SME,NE,20548.33,0.067,54,680,1,2024-03-01,0
L000233,Retail,S,20050.75,0.169,39,780,0,2023-03-01,0
L000234,SME,W,51925.67,0.141,55,736,0,2023-01-01,0
L000235,SME,W,17537.25,0.157,11,662,1,2024-12-01,0
L000236,Retail,MW,9291.72,0.068,33,736,1,2022-11-01,0
L000237,Retail,S,28961.46,0.14,14,635,0,2024-05-01,0
L000238,Retail,MW,14988.81,0.065,35,743,0,2024-08-01,0
L000239,Retail,S,37529.52,0.058,38,792,0,2022-11-01,0
L000240,Retail,MW,13453.47,0.084,29,756,0,2022-03-01,0
L000241,Retail,NE,11404.11,0.068,24,816,1,2024-12-01,0
L000242,Retail,MW,20690.32,0.239,34,623,0,2024-09-01,1
L000243,Retail,S,51066.21,0.211,53,712,0,2023-02-01,0
L000244,SME,S,29385.11,0.239,19,760,0,2023-11-01,0
L000245,Retail,S,28630.73,0.107,42,713,0,2022-06-01,0
L000246,SME,S,37454.74,0.142,21,802,1,2023-01-01,0
L000247,Retail,NE,17618.16,0.148,17,659,0,2023-01-01,0
L000248,Retail,S,8446.97,0.207,31,768,1,2023-06-01,0
L000249,Retail,W,67586.0,0.123,52,559,0,2024-09-01,0
L000250,SME,MW,17917.37,0.179,45,781,0,2023-04-01,0
L000251,Retail,MW,20941.25,0.18,13,653,0,2024-08-01,0
L000252,Retail,W,6305.4,0.057,32,647,1,2024-10-01,0
L000253,Retail,S,14953.74,0.132,49,727,1,2024-09-01,0
L000254,Retail,W,16078.64,0.202,13,727,1,2023-02-01,0
L000255,SME,NE,32563.4,0.154,15,794,1,2024-02-01,0
L000256,SME,S,12308.48,0.061,21,756,0,2022-02-01,0
L000257,Retail,NE,32669.32,0.146,21,574,0,2022-06-01,0
L000258,Retail,W,38075.72,0.187,13,559,1,2022-07-01,0
L000259,SME,S,18688.9,0.054,15,602,1,2022-08-01,0
L000260,Retail,MW,24791.67,0.104,59,748,0,2024-05-01,0
L000261,Retail,W,52535.91,0.077,38,794,0,2024-03-01,0
L000262,Retail,MW,8444.19,0.145,55,779,1,2022-06-01,0
L000263,Retail,NE,11344.8,0.129,27,614,0,2022-03-01,0
L000264,SME,MW,17685.61,0.06,13,559,0,2022-11-01,0
L000265,Retail,S,11757.91,0.178,44,601,1,2023-01-01,0
L000266,SME,MW,17514.63,0.124,43,552,0,2022-04-01,0
L000267,Retail,MW,26576.39,0.104,54,734,0,2024-05-01,0
L000268,Retail,MW,19844.66,0.09,51,625,1,2023-04-01,0
L000269,Retail,W,35293.06,0.184,25,773,0,2022-04-01,0
L000270,Retail,W,24495.63,0.147,41,776,0,2023-12-01,0
L000271,Retail,W,23752.37,0.187,14,707,0,2023-09-01,0
L000272,Retail,NE,13919.14,0.104,24,572,1,2024-10-01,0
L000273,Retail,W,17352.04,0.109,28,786,0,2022-03-01,0
L000274,Retail,NE,49017.29,0.202,45,761,1,2022-05-01,0
L000275,SME,S,18296.4,0.231,6,734,0,2024-08-01,0
L000276,Retail,S,11655.41,0.089,11,798,0,2022-01-01,0
L000277,Corporate,W,11801.38,0.226,41,575,0,2023-09-01,1
L000278,Retail,NE,15753.59,0.083,54,601,1,2022-01-01,0
L000279,SME,MW,21955.57,0.123,12,684,0,2024-01-01,0
L000280,Retail,MW,18925.11,0.07,46,725,1,2022-09-01,0
L000281,Retail,MW,10798.95,0.237,23,757,0,2024-04-01,0
L000282,Retail,S,12577.51,0.112,37,673,0,2023-06-01,0
L000283,Retail,NE,25334.73,0.142,23,810,1,2022-07-01,0
L000284,Retail,NE,33492.42,0.202,6,784,0,2024-08-01,0
L000285,Retail,NE,21141.09,0.115,33,590,0,2022-03-01,0
L000286,Retail,MW,15683.28,0.099,36,743,1,2024-11-01,0
L000287,Retail,NE,34162.82,0.202,40,768,0,2023-08-01,0
L000288,Retail,NE,61175.83,0.159,9,596,0,2022-07-01,0
L000289,Retail,MW,27386.81,0.131,39,768,0,2022-10-01,0
L000290,SME,W,24468.19,0.095,29,571,1,2022-01-01,0
L000291,Retail,W,10232.96,0.183,11,741,1,2022-09-01,0
L000292,Retail,S,10251.16,0.109,45,598,0,2024-02-01,0
L000293,Retail,NE,7208.92,0.173,54,780,0,2024-04-01,0
L000294,Retail,MW,16831.95,0.143,31,657,0,2022-06-01,0
L000295,Retail,NE,37799.28,0.089,33,777,0,2022-09-01,0
L000296,Retail,W,28567.64,0.103,46,786,0,2024-04-01,0
L000297,SME,MW,85874.77,0.068,20,797,1,2024-09-01,0
L000298,SME,MW,22641.15,0.098,13,566,1,2023-09-01,0
L000299,SME,S,16984.3,0.115,35,817,0,2023-11-01,0
L000300,Retail,W,95279.75,0.187,22,729,0,2022-04-01,0
L000301,SME,MW,15362.93,0.143,14,733,1,2023-12-01,0
L000302,Retail,MW,21235.25,0.194,11,675,0,2024-12-01,0
L000303,SME,MW,20723.93,0.229,24,678,0,2023-10-01,0
L000304,Retail,NE,18524.49,0.207,55,633,1,2023-05-01,0
L000305,Retail,W,21673.18,0.203,27,629,0,2023-06-01,0
L000306,SME,S,30147.41,0.091,31,599,1,2024-09-01,0
L000307,Retail,MW,28350.34,0.196,50,800,0,2023-09-01,0
L000308,Retail,NE,48145.44,0.084,11,724,0,2024-08-01,0
L000309,Corporate,W,20061.48,0.186,39,623,0,2022-02-01,0
L000310,Retail,NE,15343.83,0.195,43,644,1,2023-12-01,0
L000311,SME,MW,22048.04,0.217,33,696,0,2024-04-01,0
L000312,Retail,NE,17805.86,0.232,58,682,1,2022-03-01,0
L000313,Retail,W,9761.72,0.173,9,705,0,2024-12-01,0
L000314,SME,MW,27087.43,0.135,26,740,0,2024-04-01,0
L000315,Retail,S,16951.43,0.215,30,660,0,2024-01-01,0
L000316,SME,S,12451.5,0.213,7,567,1,2024-08-01,0
L000317,Retail,W,15287.09,0.217,58,641,0,2023-04-01,0
L000318,SME,S,20273.28,0.103,8,609,1,2022-03-01,0
L000319,SME,NE,12932.54,0.122,12,737,1,2023-04-01,0
L000320,Retail,S,22712.12,0.135,55,607,0,2023-06-01,0
L000321,SME,W,33123.81,0.236,25,813,0,2022-09-01,0
L000322,SME,W,25736.28,0.172,46,596,1,2024-11-01,0
L000323,SME,S,18779.59,0.238,32,619,0,2024-02-01,0
L000324,Retail,W,47471.09,0.175,34,732,1,2023-09-01,0
L000325,SME,NE,34538.34,0.103,13,769,1,2023-07-01,0
L000326,Retail,W,39043.89,0.114,26,709,0,2024-08-01,0
L000327,SME,W,19595.21,0.144,22,601,0,2022-08-01,0
L000328,Retail,MW,27703.23,0.202,56,767,0,2022-12-01,0
L000329,Retail,NE,42052.51,0.151,40,710,1,2023-05-01,0
L000330,Retail,MW,8430.9,0.098,9,692,0,2023-04-01,0
L000331,Retail,S,8058.34,0.144,49,595,1,2024-01-01,0
L000332,Retail,W,29883.48,0.122,27,774,1,2023-08-01,0
L000333,Retail,W,34583.54,0.236,41,707,1,2024-12-01,0
L000334,SME,NE,38522.29,0.122,40,819,0,2023-03-01,0
L000335,Retail,MW,8186.24,0.202,52,764,0,2023-08-01,1
L000336,Retail,NE,49500.31,0.086,36,651,0,2023-08-01,0
L000337,Retail,W,19777.05,0.227,25,622,0,2022-06-01,0
L000338,Retail,W,14863.07,0.2,47,798,1,2023-05-01,0
L000339,Retail,NE,17175.88,0.155,14,623,1,2022-09-01,1
L000340,Retail,MW,3729.59,0.174,48,767,0,2022-12-01,0
L000341,SME,W,13269.09,0.059,52,651,1,2022-11-01,0
L000342,SME,S,37800.2,0.072,44,671,1,2023-09-01,0
L000343,Retail,S,18444.58,0.222,51,768,0,2024-03-01,0
L000344,Retail,MW,30408.24,0.124,35,692,0,2024-09-01,0
L000345,Retail,W,24385.85,0.151,18,674,0,2024-08-01,0
L000346,Retail,NE,35431.59,0.232,57,742,1,2022-11-01,0
L000347,SME,S,9503.1,0.101,29,754,0,2022-12-01,1
L000348,Retail,W,18376.4,0.086,40,649,0,2022-01-01,0
L000349,Retail,W,49747.69,0.065,10,652,0,2023-05-01,0
L000350,Retail,MW,12963.43,0.085,55,708,1,2022-05-01,0
L000351,SME,S,9081.35,0.23,56,783,0,2022-12-01,0
L000352,SME,W,8562.21,0.182,19,761,1,2022-09-01,0
L000353,Retail,NE,52561.44,0.144,24,570,0,2023-09-01,0
L000354,SME,S,17863.14,0.051,16,609,1,2024-09-01,0
L000355,Retail,S,23315.99,0.194,9,616,0,2024-07-01,0
L000356,Corporate,S,12944.96,0.195,21,589,0,2024-10-01,0
L000357,Retail,MW,27300.9,0.07,9,756,1,2023-09-01,0
L000358,Retail,MW,31742.8,0.157,12,562,0,2023-04-01,0
L000359,Retail,W,18815.54,0.131,22,686,0,2023-09-01,0
L000360,Retail,MW,19804.74,0.076,24,551,0,2024-06-01,0
L000361,SME,MW,17408.36,0.2,35,673,1,2022-09-01,0
L000362,Corporate,S,15308.83,0.082,36,732,1,2024-11-01,0
L000363,Retail,S,13843.02,0.147,36,813,0,2023-09-01,0
L000364,Retail,MW,15189.07,0.113,39,789,0,2022-07-01,0
L000365,Retail,W,107583.49,0.088,41,641,0,2023-05-01,0
L000366,SME,W,9607.28,0.202,44,565,0,2022-11-01,0
L000367,Retail,MW,17635.26,0.146,29,814,0,2022-12-01,0
L000368,Retail,NE,56253.77,0.125,56,698,0,2022-09-01,0
L000369,Retail,MW,10086.4,0.224,37,550,1,2024-06-01,0
L000370,SME,S,39409.1,0.194,31,741,0,2023-05-01,0
L000371,Retail,W,29559.68,0.125,28,636,0,2024-03-01,0
L000372,Retail,W,26413.84,0.113,14,627,0,2022-12-01,0
L000373,Retail,MW,24259.6,0.068,25,606,1,2024-11-01,0
L000374,Retail,MW,23751.18,0.235,50,553,0,2023-01-01,0
L000375,Retail,W,43651.85,0.139,59,615,1,2022-08-01,0
L000376,SME,NE,10701.15,0.227,29,651,1,2022-03-01,0
L000377,SME,MW,52484.49,0.208,17,692,0,2023-11-01,0
L000378,SME,NE,83437.86,0.064,10,807,0,2022-09-01,0
L000379,SME,S,10533.03,0.069,46,738,1,2023-06-01,0
L000380,Retail,W,31123.51,0.205,40,718,0,2022-03-01,0
L000381,Retail,MW,11094.7,0.24,9,606,0,2024-09-01,0
L000382,Retail,MW,35058.46,0.192,6,712,0,2022-05-01,0
L000383,Retail,S,16439.8,0.2,14,580,1,2022-06-01,0
L000384,Retail,W,16993.23,0.169,32,776,1,2024-12-01,0
L000385,Retail,NE,7986.04,0.167,34,683,1,2024-09-01,0
L000386,Retail,W,20601.25,0.056,10,681,0,2022-10-01,0
L000387,Retail,S,13334.85,0.155,17,719,1,2024-01-01,0
L000388,Corporate,MW,21648.76,0.233,44,677,0,2024-12-01,0
L000389,Retail,W,28354.57,0.13,57,551,0,2022-02-01,0
L000390,Retail,S,14277.29,0.135,54,641,0,2023-08-01,0
L000391,Retail,S,44678.39,0.077,51,608,0,2024-09-01,0
L000392,Retail,NE,20580.91,0.129,48,642,0,2023-11-01,1
L000393,SME,S,14439.14,0.094,51,736,1,2022-04-01,0
L000394,SME,MW,17134.08,0.226,29,642,1,2024-03-01,0
L000395,Retail,S,56790.02,0.103,36,741,1,2022-05-01,0
L000396,Retail,W,40225.17,0.17,46,816,0,2022-10-01,0
L000397,Retail,MW,20451.87,0.103,59,578,0,2023-06-01,0
L000398,SME,MW,22177.19,0.234,19,756,0,2023-05-01,0
L000399,Retail,W,23661.68,0.065,55,681,1,2024-06-01,0
L000400,Retail,MW,43926.77,0.065,33,711,1,2022-03-01,0
L000401,Corporate,W,26200.19,0.228,59,775,1,2024-06-01,0
L000402,Retail,MW,21724.81,0.125,51,701,0,2023-07-01,0
L000403,Retail,MW,17497.55,0.181,32,692,1,2023-04-01,0
L000404,SME,NE,14673.15,0.08,7,688,1,2024-01-01,1
